code~omschrijving~groepcode~groep~orde
hVb~Koopveengronden op bosveen (of eutroofbroekveen)~hV~koopveengronden~Veengronden
kMn63C~Knippoldervaaggronden; zavel en lichte klei, profielverloop 3~kMn~knippoldervaaggronden~Vaaggronden
kMn68C~Knippoldervaaggronden; zavel en lichte klei, profielverloop 4, of 4 en 3~kMn~knippoldervaaggronden~Vaaggronden
kMn43C~Knippoldervaaggronden; zware klei, profielverloop 3~kMn~knippoldervaaggronden~Vaaggronden
kMn48C~Knippoldervaaggronden; zware klei, profielverloop 4, of 4 en 3~kMn~knippoldervaaggronden~Vaaggronden
Md10~Ooivaaggronden; lichte zavel~Md~ooivaaggronden~Vaaggronden
Md20~Ooivaaggronden; zware zavel~Md~ooivaaggronden~Vaaggronden
Md80~Ooivaaggronden; klei~Md~ooivaaggronden~Vaaggronden
pRv51~Liedeerdgronden; zavel, profielverloop 1~pRv~liedeerdgronden~Eerdgronden
pRv81~Liedeerdgronden; klei, profielverloop 1~pRv~liedeerdgronden~Eerdgronden
pRn56~Leek-/woudeerdgronden; zavel, profielverloop 3, of 3 en 4, of 4~pRn~leek-/woudeerdgronden~Eerdgronden
pRn86~Leek-/woudeerdgronden; klei, profielverloop 3, of 3 en 4, of 4~pRn~leek-/woudeerdgronden~Eerdgronden
pRn59~Leek-/woudeerdgronden; zavel, profielverloop 5, of 5 en 2, of 2~pRn~leek-/woudeerdgronden~Eerdgronden
pRn89~Leek-/woudeerdgronden; klei, profielverloop 5, of 5 en 2, of 2~pRn~leek-/woudeerdgronden~Eerdgronden
Rv01A~Kalkhoudende drechtvaaggronden; profielverloop 1~Rv~drechtvaaggronden~Vaaggronden
Rv01C~Kalkloze drechtvaaggronden; profielverloop 1~Rv~drechtvaaggronden~Vaaggronden
Ro60A~Kalkhoudende nesvaaggronden; zavel en lichte klei~Ro~nesvaaggronden~Vaaggronden
Ro40A~Kalkhoudende nesvaaggronden; zware klei~Ro~nesvaaggronden~Vaaggronden
